,Review,Sentiment,Number
169,"By far, the best fancy mexicanish food I've ever had! 

We ordered so many dishes - I dont think I can post the names of all the things we ordered! Came here for a birthday dinner and turned out great! The cocktails are mindblowing - theres many new kinds of liquers you can try here! 

The food is amazing! All the food served at quetzal is grilled on Charcoal! Can you imagine the char on that beautiful steak!!!! My mouth waters as I write this review. The menu can be confusing but our server- Brad - so amazing - suggested all the right things! 

 We tried all three desserts on the menu ! I think chocolate one was my least fav! 

Definitely visiting this place again to try the other things on the menu!",2,169
602,"Went today with my boyfriend to try the dim sum over the weekend and was disappointed. Got there at 1:30 PM and ordered about four or five different dim sum's and was told to wait while it was being made. 

The order was for take out. Waited for an hour and a bit and still no end in sight of when I would get my order. I must've seen five Uber eats pick up their orders way after me and there were two or three people behind the line that got seated for dine in, and got served their food before me getting my order. 

After waiting patiently for an hour for my take out order to be completed I went up to the cashier and told them to cancel our order since it wasn't even made at that point. All they said was that they were really backed up. I spoke to both workers and said this isn't right that you guys didn't tell us we have to wait A whole hour for take out. We have been standing at the restaurant at the lineup for a whole hour and still our order was not made at that point in time. Poor Organization.",0,602
444,"The food and cocktails were exceptional. Truly. We tried the ahi tuna, beets with labneh, black truffle rice, brussels sprouts, cauliflower, marcona almonds and olives. All delicious and beautiful.  

Unfortunately, our server was a bit snooty. She didn't seem to approve of our ordering style, which was surprising considering the menu seemed to emphasize shareables. We preferred to try many small plates as opposed to a main. Nonetheless, she kept pushing for more; insisting the sides and rice were meant to be paired with a main protein.",1,444
63,"I got the 6inch shrimp burrito -- definitely not the best burrito I've ever had but it wasn't bad either. I enjoyed it but was disappointed when they said they didn't have any hot sauce?!! You also can't choose toppings either, I'm pretty sure all the burritos comes with the same thing (rice + peppers and onions) Again, tasted good didn't mind that at all but I think my extreme hunger made it taste a lot better, if that makes any sense. I probably won't be back but glad I got to try this place out!!! Maybe if I had tried the tacos my opinion would be different but you can def find better taco places I'm sure",1,63
593,"I love eating here on my comfort food/cheat days.

They have classic Hong Kong style soup noodles and bbq rice dish.  The noodles are made to order.  They have rice noodles, thick noodles, egg noodles to choose from.  Toppings include beef balls, fish balls, bbq pork, shrimp wonton, prom wonton, chicken, lemongrass chicken, beef stew, and others.  Better yet you can pick and choose.  You can get additional toppings like half size wonton, tofu, or beef sauce to add-on.  You can also pick just broccoli or bak choy.

You can pick rice dish too.

There is vegetarian options.

Their soy bean drink is small but tasty.

Staff is nice and friendly.

Line is long but service is fast.",1,593
276,"We made resos for a Thursday night. Boy was this place packed! I liked the ambiance but felt like it was too noisy. I liked how it was dimly lit. 
I ordered the duck ravioli. Portion size seemed small. Sauce was good but I felt like it was missing something salty! 
My friend ordered the spicy sausage pasta which was tasty as well. She said it was al dente and the pieces of meat were good. It wasn't too salty or saucy.  
The complimentary bread was mediocre. It was cold and came in a folded paper basket. A small bowl of olive oil was hidden underneath. The olive oil was delishhh though! 
Overall it was alright. Prices are reasonable for the quality. I'm not sure if I'd go back again though!",1,276
476,"The restaurant is one of the older ones located in Chinatown. It was packed when I entered the restaurant. The restaurant itself is very limited in its seating, so in order to seat as many people as possible, I noticed the servers placing two different parties at one big table. 

I ordered Beef Tripe Noodle Soup and my sister ordered the Wonton Noodle Soup. The noodle soup are filling in my opinion and definitely worth its value (under $5 without tax!). I tried both noodle soup and I preferred mine over my sister's. The tripe was so soft and chewy. As well, I liked the meat broth taste - a bit less bland. I also ordered the stir fried clams in black bean sauce and they were very delicious. I never thought of the combo of black bean sauce and clams, but they complemented well and a definite must-try if you like clams. I recommend this restaurant- definitely worth the money for their food. 

However, disclaimer is that they ONLY ACCEPT CASH.",2,476
75,"Mi Taco Taqueria is a festive bright takeout/sit down place to grab a couple tacos and a drink. You order at the cashier and they give you a number so that you can seat yourself during the wait. They have a colorful seating area in the back, with interesting lights and banners to envoke a festive charm to the small space.

We ordered the guac and chips, and 6 tacos. The guac is on the small side but tastes fresh with plenty of herbs and bright flavors. Between the 6 tacos that we had, I prefered the carnitas and the sliced beef tacos the most. The flavoring was the most interesting, while the others were okay but at times a little bland. At $5-6 a peice, the tacos are not cheap but it can be expected due to the popular location.",1,75
7,"Great spot if you wanna get some quick tacos or burritos.

There was a huge variety of options to order and al for a fair price however there was a huge lack of flavour in anything you ate until you added sauces from their sauce bar(which was great). I felt like I was getting grilled vegetables flavoured with salt and wrapped in a tortilla. 

My stars are really going towards the tomatillo sauce which really saved the day.",1,7
264,"Queen West small Italian shop with simple black and white décor, sizeable patio but limited seating inside, typical (you'll get the joke soon) Italian fair with a slight focus on risottos and pastas.

I thought just the décor was black and white, but it turned out the placemats and menus were also black and white - there's a collection of black ink art that reminds me of medieval times when artists worked for months on a simple line drawing to get things just right - whether it was embellishment in a single capital letter, or a decorative flower, or the skull of an animal - because you know, all these are completely related and belong side by side. Nothing wrong with it at all, it was definitely unique and presented artfully. 

The menu is deceptively lengthy - dishes are in Italian then described in English. I've never read a menu that uses ""typical"" as it's adjective of choice so much. Most of my party went for pastas - they were smaller portions than desired. It would've been fine as a lunch portion, but for dinner it was insufficient and taste was simpler than expected (or should I say, typical?). The risotto with veal was actually a highlight despite some other reviews and the portion was actually filling, unlike the gnocchi and ravioli items (those were the smallest!). Overall it was really not bad - but unfortunately underwhelming.

Service is very slow if you're a large group - so please spare them and only come with a few friends. You'll enjoy the ambiance more and sharing more items will be more feasible, and your overall experience will just be that much better! If I'm in the area I suppose I could give it another shot, but for one that values taste over aesthetic, I might not be back.",1,264
669,"Lai Wah Heen used to be the best luxury dim sum restaurant in downtown Toronto. Overtime, the quality of the restaurant declined. While services and atmosphere still remain the same, quality and price are no longer on par. 

Out of the four items my brother and I shared, the best item was fried bean curd sheet with mushrooms served with aged balsamic vinegar ($5). It was crispy and juicy. Truffle Snow pea vegetarian wrap was unfortunately subpar ($5.5). The snow pea is not picked and over-steamed. 

With that said, it may still be a good option if you are a downtown dweller. However, I would not recommend Lai Wah Heen if you have access to dim sum restaurants in uptown Markham and Richmond Hill.",1,669
133,"After the first bite of the carnitas taco I ordered, I wanted to put it down and apologize to the chef for all the times I made carnitas at home. What the hell was I thinking? How could I dare to think I had the right to make carnitas when this miracle existed?

I've been back a few more times and ordered more items on the menu. Everything I've had is great. Everything is made fresh right in front of you and the ingredients are all at peak yumminess, down to the chopped white onions at the toppings station. 

Hot tip: come here after 10:30pm on Fridays and Saturdays for their special late night menu. They serve up a few different varieties of tortas (basically subs) that feature a generous helping of meat, cheese (if you're into that sort of thing), and guacamole at no extra charge (I'm looking at you, Chipotle). They have a hot dog and egg torta that has absolutely no business being as good as it is. I watched the chef whisk the eggs, chop up the hot dog and cook it all up on the flat top. The eggs were fluffy as hell and the flavours mixed together into a masterpiece that Imran N. and I couldn't believe. 

So yeah. Go here, be polite and get the best damn Mexican food in the city.",2,133
491,"Hong Kong Bistro Cafe is a HK cafe (cha chaan teng) located in downtown Chinatown. Living in Scarborough, there are tons of HK cafe options in Upper Scarborough and Markham but surprisingly not many downtown that I'm aware of.

HK cafes (cha chaan tengs) serve low cost Canto-Western cuisine and this is a result of Britain's colonization of Hong Kong and as a result it ended up impacting the food served.

I have been to a Hong Kong Bistro Cafe a few times and dropped by recently on a late Friday afternoon during the holiday season. I ordered the lunch special which was a baked grouper in a tomato sauce over a bed of spaghetti, it also came with a soup (choice of Chinese soup, cream soup and Russian Borscht which is essentially a tomato soup) and a HK milk tea for $8.50 plus tax. The spaghetti was pretty basic but the baked grouper was cooked perfectly, really well done. The Russian borscht (tomato soup) soup was basic and the HK milk tea was above average.

Hong Kong Bistro Cafe is a pretty good option downtown if you are looking for a HK cafe and really reasonably priced and service is pretty fast. The food won't blow you away but it's pretty good and the portions are pretty big and fulfilling especially for the price point.",1,491
91,"This place is authentic (in my non mexican opinion) and damn good. I like the creepy washrooms in the basement that add to the ""hole in the wall"" feeling of this restaurant. I think three tacos for 10$ is a good deal. The Mexican sausage and steak were delicious as they had these little pieces of juicy fat. They have different levels of spicy sauces yummm.",2,91
504,"Service was as ok, dumplings are ok (depends) place is kinda gross. 

If you're not picky then this place might have good dumplings for you, just ignore the poor cleanliness of the place then you're good! The plates they use look old, and I question the cleanliness of the stuff they use. I saw a pile of serving plates near the front where they're cooking and I couldn't figure out if it was the dirty pile or the clean pile.

Service is prompt, I've been here a couple of times. My first time was with my s.o., who is white. We pretty much got ignored most of the time, the only time they attended to us was to ask for our order and to pay. 

The second time was with my Chinese friend, she spoke in Mandarin to them and I noticed they actually filled up my water a couple of times, I have no idea if it's cause I went with her.

Now for the dumplings, my friend said that the wrapper they used was too thick for her liking, and she said it made sense since they used dough. I didn't mind but the filling of the dumpling had a gross bitterness to it, and this comes from someone that willingly eats bitter melon. The pan fried one tasted better, but near the end we got sick from eating it cause of the oil, it pooled at the bottom.

The first time I went here, I only got steamed dumplings, I got the mushroom and spinach one and it was tasty. My boyfriend got steamed pork dumplings and he didn't complain, although he seldom does. I definitely think it's a must try but you can only pay in cash so make sure you bring some. If you're with TD, you might need to trek a bit if you want an ATM, otherwise CIBC, RBC and Scotiabank clients are good since the ATMs are in close proximity",1,504
168,"Mr.H and I were here for a celebratory dinner, right when you walk in this place has a modern and minimalist ambiance, very different from most other mexican restaurants. Like really... I did not see one decorative skull. Lol

I tried two cocktails, the Primaverde and a special for the day called Breakfast in Mexico. Both were amazing!

For food we tried the below:

Tuna Tostada - yummy... the sesame and spice on this really makes it unique.

Seafood cocktail - Mr.H loved it but this was my least favorite dish. I thought it was too tart to enjoy. 

Lamb Masa - One of my favorite from the night, the lamb was so beautifully cooked, extremely delicious. A must try if you love lamb.

Beets - This was ordered from the greens section of the menu and was surprisingly very tasty. The creamy base and seasoning made it a perfect pairing with the grill pork.

Grill Pork - OMG! Served with roasted pineapple and a caramelized onion sauce it was what you'd call ""melts-in-your-mouth"" deliciousness!!! 

I'd heard their meats are amazing so I'm excited to try this place again and maybe have the beef next time. 

The service was perfect and I've certainly added this place to my list of must trys in Toronto.",2,168
478,"If you haven't heard of Swatow or haven't been yet you totally should. While not totally vegan this is another location in Toronto where you can get some Chinese style food that is vegan. The portions are huge and it's very inexpensive for what you get and it will not disappoint your taste buds.

Be prepared to wait a bit to get in. This is a very small place and can be very busy especially during standard meal hours. The staff were friendly and super accommodating to us. They mainly have small tables but there are a few bigger ones. If you have a fairly large group of say more than 5 people you might want to reconsider if you all want to eat at once and sit together. This is great for small groups or even the solo diner. It was actually so busy when we went that we wound up sitting at a bigger table with other diners which was a lot of fun actually. 

No matter the shortcomings of this establishment once you try the food it will all melt away and you'll actually wonder if it even matters. Just go I doubt it you'll walk away without wanting to come back.",2,478
389,"My group and I came here to celebrate a birthday. There were issues with the reservation, as they had only called to confirm the day of the event, and we found we weren't being treated appropriately because of it by the hostess/first waiter upstairs that we received. It also may have been because of young age compared to the rest of their customers. If you plan to visit, make reservations and make sure there are no miscommunications before arriving. 

They ended up being able to accommodate us and our new waiter downstairs was very friendly and helpful. Despite the service in the beginning, it was quickly turned around with good service and great food. I ordered the gnocchi and it was delicious and filling. 

This place felt more like a date spot than a spot for large parties, there are a few floors, but it's still small. The food would be 5/5 for me but with the initial service, had to give it a 3.",1,389
