,Review,Sentiment,Number
439,"Wowww this spot has some GOOD banh mi sandwiches.

Stopped by right after they opened on a Sunday and there were already people eating. Small spot designed mostly for take out, but there is some seating. Our group each bought a bahn mi and some sides, including fries and some boas 
I like traditional/standard banh mi sandwiches. Banh mi boys goes well beyond traditional and had some very interesting options, including the kabli beef which I got. It combined the traditional ingredients of a banh mi with Korean style beef... delicious. The sandwiches are quite large so don't feel like you need a lot of sides, or maybe share a sandwich and some sides.
We also spit some kimchi fries, which are truly LOADED, with fries, poutine, kimchi, bbq style meat and more. The portion is massive. They are delicious and loaded with tons of ingredients.",2,439
231,"Absolutely another one of those hidden gems! I very much recommend going if you're looking for delicious yet affordable cheap eats!

I had the prosciutto bruschetta toast. Unlike the bruschetta with the diced tomato, this is more of your open sandwich idea. The bread was garlic bread! Super pleasing. The prosciutto was plentiful and the arugula was a great match.

We sat in and it took little time to get our food. The server was genuinely so nice and attentive. 

I really recommend stopping by and enjoy a no frills eating environment.",2,231
619,"It looks really sketchy outside but don't like it scare u away, cuz the food is pretty good! Let's talk about the 4 dishes we ordered:

1. Dan dan noodles. Okay I'm pretty sure it is not the authentic dan dan noodles but the way they presented it was pretty smart. All the spicy sauce is on the bottom of the bowl because if u can't take that much spicy then u don't have to stir all into the noodles. But other than that no comments.
2. Chicken dry pot. We ordered this because other three plate wasn't enough. It came on a stove and a pot, it tastes amazing but the fire down the stove is just really concerning I wish they could use some protection around it.
3. Spicy beef. ITS SO GOOD and SO SPICY. I freakin loved it!! I'm not joking about the spicy level of this dish so if u can't really take real spicy u need to bring ice milk with u. Also u need to try the numbing pepper that Sichuan cuisine has, it will numb ur tongue and it is such a cool sensation.
4. Double cooked pork belly. It's extremely salty, like super duper salty. We had to order rice to eat this. 

The service: the waiters and waitresses hang around but they r really slow at services.",1,619
257,"First time at Stelvio- wasn't as good as I'd hoped. 

We ordered some fritti mozzarella bites and they were good- but definitely needed a dipping sauce. Or maybe I'm just too used to real mozzeralla sticks with marinara. 
I wouldn't recommend it.

I ordered the pasta special which was a gnocchi with truffle, meat, and porcini. When I first got it I was happy that it came with a lot of truffle, but when I got into it I felt like it had too much. It was definitely too much of a good thing. But it was $28 so I guess they wanted you to feel like you got bang for your buck. 

My bf ordered the tagliatelle ragu and it looked good, but he said the primary flavour was salt. When I tried it- I would have to agree. It was tomato and salt. Not complex at all. 

Also as an aside- I would say the pasta portions are relatively small for the price. You get this dish with a little bowl dent in the middle and your pasta portion is basically the size of a rice bowl. 

I'm happy I tried it but I probably wouldn't come back.",1,257
420,"Ok, let's get this out of the way: I have no idea why this is the 9th best restaurant in Canada in 2019, and you'll be massively disappointed if you expect it to be. Checking for expectations though, it's good. We managed to grab an early dinner slot and got:
- Pulpo e Fagioli: The octopus was really tender, you could cut through it easily with the typical blunt table knife. The swipe of salsa verde and the bed of cannellini beans didn't add much flavour though.
- La Giulietta: Their signature pizza was definitely worthy of their name. This will sound weird, but my favourite part was how good the dough was - thin yet not limp, great taste but not distracting to the toppings, held everything together well. Also, never had pistachios on pizza before and thought this was a great.
- Pappardelle al Ragu: The oxtail was melt-in-your-mouth amazing, though was let down by the pedestrian tomato sauce and a-bit-too-aldente pasta noodles.
- Fogo Island Cioppino: Kinda like an Italian bouillabaisse. Good flavour, though not enough seafood (cod, mussels, shrimp) for my liking.
- Dessert: Got the Red Fife Tiramisu and Gelato del Giorno, and both were winners. The tiramisu had a nice thick custard that made it a bit different. The seasonal soft serve gelato that day was chamomile, which, drizzled with honey, was just a perfect way to end the meal.

The prices were expectedly high, the place had a nice upscale hip vibe, the servers were tremendous, though the pacing of the meal was a bit too slow for me. Overall, Giulietta provided a good dining experience. Not 9th best, maybe not even 99th best. But there were enough hits to make it a worthwhile try.",2,420
374,It was under cooked noodle and no savory at all in my pasta. Overpriced and it's not worth to paying for it.,0,374
386,"Came here for a team lunch and ordered the fixed menu because the main menu apparently wasn't fully available during lunch.....very confusing menu setup but ended up ordering the risotto and cheese fried balls and the roasted chicken.

The risotto cheese balls were surprisingly good because when the dish arrived it was very underwhelming. The balls had a really good crust and when i fried poked into one it had a really good cheese pull. What i also enjoyed was the tomato sauce at the bottom which cut the oiliness of the fried balls significantly, a really good match.

The chicken however was very disappointing. The chicken was very tender on the inside but that was probably because small chunks were undercooked and raw ish....the pasta under was kind of dry and clumped together. Lastly the texture was a little boring, there was a little bit of char on the skin but seems to be only from the salamander so the really wasn't a real crust on the chicken.

Overall the restaurant seemed good but just didnt get a good experience this time.",0,386
390,Food was mediocre at best I'm sad to say. The pastas and salads were very generic and like I can make that myself at home. Bread was warm which was nice and the atmosphere of both the outside downstairs/upstairs patios and the interior was nice.,1,390
246,"This is a very cute restaurant in the heart of Yorkville on the corner of Yorkville Avenue. 

Like most of the reviewers, I went for the popular dish, Malafalde di Funghi. This pasta dish tasted as good as it looked. It's creamy and the pasta was al denté. 

We sat on the main floor, which was buzzing on Friday afternoon. Next time, I'd like to check out the rooftop patio when the weather is nicer. 

The price is mid to higher end, which I'm not crazy about. And after reading other people's reviews, the taste for other highlighted dishes seemed more conflicted (less consensus -except for the dish I got), so this wouldn't be a go-to spot for me. 

Atmosphere is on point. It's not stuffy like most of the restaurants in Yorkville. It feels homey.

The server we had was super busy, but he did what he needed to do. He was very on point with pouring our champagne and always made sure our glasses were filled. 

Overall, it was a pleasant experience.",1,246
473,"I came here for my birthday celebration. It was a surprise, so I was super excited when we stopped by this place. As we walked in, you walk up a very instagram-able set of stairs. We were greeted promptly, and offered coat-check.

We got a table by the live piano. The piano playing added a nice ambience to our dinner. But I found the piano a little bit too loud at times, so it was hard to hear my date talk. But I did enjoy how he would play to the age group of the crowd. I didn't enjoy my 'sofa seat' that much because it was too low for me to eat properly. It sank in a lot as well. 

Our server explained the menu to us, and recommend that we share a steak and order two to three sides. 

We ordered:
14oz Creekstone Farm Prime Black Angus rib eye - medium rare $91
Table Side Caesar Salad - $26 
Mushroom Risotto - $26
Duck Fat Fries - $17 

Each table started with their house made brioche - which was crispy on the outside and fluffy and hollow on the inside. It also came with their garlic butter, which was buttery goodness. 

Then came the Caesar Salad. The salad was more of a show where the severs would roll a cart of ingredients for the salad to your table and make it in front of you. It was a nice touch to see them make everything from scratch. The salad maker didn't really talk to us or try to make conversation so it was a little disappointing. (I saw the table next to us have a full on conversation with their salad maker).

The salad was good, but not the best caesar salad I ever had. It was a nice balance of cheese, and smoked bacon and a hint of anchovies. If you aren't the biggest fan of anchovies, you can ask for it on the side. I did find it a bit fishy at times. 

Next, came the steak, which was cooked to perfection. I've never had such a tender and perfectly cooked steak. It was charred on the outside on an iron skillet. The steak came with charcoal salt, herbed salt, and pink salt (super fancy). All the salts tasted the same, salty. The steak also came with a chimichurri sauce, blue cheese and yuzu shoyu. I enjoyed the blue cheese the most. The salts and the blue cheese, brought out the beef flavour. Hands down, this is one of the best steaks I've ever had.

The risotto was good as well. My date didn't enjoy it as much, but I didn't mind it. But, if given another opportunity, we probably would have gotten something else.

The duck fat fries were amazing. Who would have thought fries could be cooked this nicely. Every fry had a good ratio of crispiness and fluffiness. The fries came with two sauces, their house ketchup and a garlic mayo. 

We didn't get dessert, but the restaurant gives you a small tasting of their dessert free of charge. We got a small chocolate and a macaron. On the way out, they also give you chocolate muffins as a take-away. This was a nice touch.

Jacob's is definitely a fancier place. From the service, to the ambiance, decorations and even the bathroom, they make sure your visit is enjoyable. The server made sure to check up on us every so often, the water's were always filled, and our napkins were always folded if we left the seat. The elderly gentleman, at the entrance, even insisted in helping me wear my jacket  - even after I refused (I gave in). 

I would like to come back and try their other steaks. There is a Wagyu Steak that costs $880 - out of my price range, but this gives you an idea of the type / quality of steaks they have.",2,473
